# SEU Times,,,,,,,,,
#Time, Latitude (deg), Longitude (deg), Altitude (km), GEO_x (km), GEO_y (km), GEO_z (km), GEO_vx (km/s), GEO_vy (km/s), GEO_vz (km/s)
16/06/2014 2:37,32.354,-72.847,330.41,1672.877,-5419.954,3570.513,2.244103,-3.65442,-6.677803
18/06/2014 14:59,-77.19,146.293,1109.49,-1384.837,923.813,-7279.381,1.31274,-6.79283,-1.640603
20/06/2014 8:15,-57.516,5.538,1423.33,4178.474,405.151,-6557.625,5.458181,2.230508,3.395847
22/06/2014 1:40,5.144,116.238,1218.38,-3344.916,6786.543,677.344,-0.031357,-1.197926,6.907533
24/06/2014 3:49,49.457,-111.792,331.78,-1622.201,-4057.361,5075.857,-0.700049,-6.067869,-5.063345
26/06/2014 12:39,-38.639,128.969,907.37,-3582.987,4429.485,-4527.649,1.721871,-3.811086,-6.006879
28/06/2014 4:02,-46.37,-102.687,1032.62,-1124.709,-4996.09,-5341.176,2.271495,4.325287,-5.276486
30/06/2014 6:32,42.118,34.088,659.65,4329.301,2929.833,4697.757,-5.150127,-2.006595,5.183079
02/07/2014 17:04,45.087,34.017,388.51,3966.184,2676.968,4769.31,3.906773,4.332629,-5.28344
04/07/2014 10:54,-64.362,-67.055,1442.42,1322.125,-3123.048,-7027.694,4.278563,-4.392435,2.902885
06/07/2014 7:43,1.27,-3.603,881.61,7243.629,-456.163,159.919,-0.694657,0.672095,7.284002
08/07/2014 11:22,76.807,-20.468,343.39,1441.545,-538.065,6522.218,-3.482002,7.002693,1.248389
10/07/2014 0:34,-16.297,93.602,956.25,-442.363,7027.4,-2046.63,-0.770025,1.428758,7.087435
12/07/2014 9:16,46.576,-29.519,401.54,4062.075,-2299.982,4901.159,-4.326009,4.124463,5.097983
14/07/2014 10:06,-69.533,149.479,1459.32,-2366.494,1395.134,-7320.208,3.492788,-5.373627,-2.170867
16/07/2014 4:30,-8.365,-153.877,1129.96,-6669.843,-3270.815,-1086.152,0.733813,-0.295155,-7.05257
18/07/2014 2:36,5.237,-131.318,1051.2,-4884.734,-5556.716,674.298,-0.331971,-1.278912,-7.052657
20/07/2014 21:35,-50.242,-49.883,1451.04,3231.505,-3835.284,-5995.573,-2.269792,4.723921,-4.297929
22/07/2014 12:14,80.452,6.597,467.65,1131.399,130.842,6729.294,1.864648,7.554569,-0.06596
24/07/2014 5:01,30.642,6.622,342.47,5748.386,667.354,3406.333,-4.206216,0.547327,6.690474
26/07/2014 14:32,-75.177,70.335,1315.96,664.141,1858.461,-7416.008,-5.702389,-3.741868,-1.076008
28/07/2014 19:36,-80.93,52.071,1159.81,732.446,939.889,-7422.059,-4.87965,5.058456,0.65135
30/07/2014 0:29,-57.094,-108.407,1374.34,-1332.477,-4003.911,-6485.459,3.399019,4.887472,-3.389189
01/08/2014 0:25,-66.862,-103.767,1272.54,-717.133,-2926.833,-7012.571,3.938744,5.294051,-2.176272
03/08/2014 3:30,-30.144,-170.705,1426.57,-6665.223,-1090.902,-3900.567,3.563923,-0.176403,-5.794381
05/08/2014 17:15,-64.319,-7.989,1185.89,3253.58,-456.598,-6793.982,-5.786512,3.1488,-2.465113
07/08/2014 3:50,-26.366,-13.375,409.77,5920.496,-1407.707,-2997.477,3.29178,0.178149,7.121059
09/08/2014 16:54,-50.163,-19.04,1211.51,4603.581,-1588.779,-5804.729,-4.792187,3.100382,-4.070541
11/08/2014 16:16,41.189,-32.277,1319.86,4903.806,-3097.309,5047.42,4.545509,-1.660843,-4.926482
13/08/2014 13:04,-21.985,23.64,1330.63,6550.859,2867.471,-2871.058,-2.867137,-0.543678,-6.250705
15/08/2014 5:17,44.703,-37.697,591.32,3925.574,-3033.654,4879.886,-3.081333,4.061264,5.702108
17/08/2014 23:24,-79.501,-22.217,600.05,1180.658,-482.219,-6839.628,6.010023,4.552831,1.216316
19/08/2014 19:08,43.719,-92.247,1414.29,-221.059,-5634.97,5362.987,0.890263,-4.784776,-4.768787
21/08/2014 12:23,3.456,13.699,1342.79,7487.721,1825.196,462.845,0.001666,0.54264,-6.866476
23/08/2014 5:21,16.006,113.879,1381.37,-3019.981,6821.654,2128.306,-1.206259,1.289823,-6.618326
25/08/2014 15:33,-0.15,-41.436,1240.64,5711.754,-5041.941,-19.877,0.047649,0.68575,-6.953235
27/08/2014 9:28,22.183,-129.959,683.39,-4201.288,-5014.215,2651.266,2.107541,1.260953,7.141498
29/08/2014 13:49,-50.003,-12.294,691.66,4447.74,-969.286,-5392.897,-5.518492,2.749023,-4.342511
31/08/2014 7:42,66.953,-93.184,1221.39,-165.622,-2977.654,6970.244,2.914287,5.641276,2.941638
02/09/2014 15:08,-28.821,-46.046,775.25,4352.996,-4514.979,-3430.266,-2.163588,3.512581,-6.209509
04/09/2014 1:24,-47.768,162.105,583.07,-4460.03,1440.145,-5131.277,5.137411,-3.18056,-4.703143
06/09/2014 7:09,45.181,-109.555,1166.74,-1782.593,-5018.574,5329.144,2.653448,3.923508,5.228598
08/09/2014 23:13,-24.75,179.227,651.27,-6386.521,86.195,-2926.622,3.595163,-0.896084,-6.619185
10/09/2014 21:00,48.51,-165.753,1269.82,-4918.607,-1248.89,5705.79,-4.384839,-2.437224,-4.813859
12/09/2014 7:21,17.633,43.693,953.26,5053.252,4827.859,2208.455,0.721036,1.644574,-7.047193
14/09/2014 20:36,69.113,178.313,1342.37,-2758.062,81.246,7190.621,-5.818247,-2.669241,-2.517199
16/09/2014 7:26,-72.353,66.848,352.05,804.476,1881.378,-6391.227,-6.196177,-4.44071,-2.104875
18/09/2014 22:32,-43.07,173.982,376.43,-4914.407,518.11,-4590.243,5.26806,-1.899832,-5.546923
20/09/2014 17:51,-1.329,52.071,1106.03,4599.204,5901.703,-172.639,-0.052872,0.868888,7.065654
22/09/2014 9:59,21.086,-16.566,715.68,6346.576,-1887.895,2537.729,2.297485,0.134631,-7.156354
24/09/2014 6:03,80.365,-69.484,1319.15,452.728,-1209.847,7567.032,5.095231,4.651242,0.102543
26/09/2014 0:12,-19.862,-56.735,1075.02,3846.24,-5863.123,-2518.565,2.151658,-2.03029,6.50806
28/09/2014 21:05,76.951,30.416,1269.95,1493.07,876.539,7428.715,-6.734754,1.520569,0.77779
30/09/2014 0:54,-4.794,108.672,390.2,-2159.335,6389.808,-562.103,-0.418953,-1.111672,-7.777549
02/10/2014 19:39,-37.043,-172.137,347.19,-5323.74,-735.212,-4030.329,4.724191,-0.528374,-6.327751
04/10/2014 23:05,-76.954,168.245,597.37,-1546.119,321.723,-6773.554,4.146135,-6.174582,-1.741604
06/10/2014 13:41,78.2,-145.797,922.82,-1238.281,-841.641,7124.854,-0.669524,-7.104043,-1.523797
08/10/2014 4:06,-64.73,-155.915,978.72,-2873.943,-1284.66,-6629.994,-4.824252,-4.826472,2.418719
10/10/2014 20:49,-69.429,172.434,655.98,-2456.641,326.321,-6563.086,5.742128,-3.997464,-2.905638
12/10/2014 23:22,80.742,0.683,845.06,1165.299,13.888,7107.462,-1.997376,7.096135,-0.2579
14/10/2014 16:53,-34.174,-154.957,458.11,-5129.242,-2396.451,-3819.754,4.075087,0.723252,-6.60148
16/10/2014 12:12,-19.671,82.325,1424.55,981.623,7283.767,-2612.958,-0.28891,2.394737,6.363985
